Goal,Exam,Subject,Unit,Chapter Name,"All book questions live

(Vipin)","All acquired questions live

(Ajay & Tanishq)",No NQE Deficiency,No PAJ Deficiency,"No ATG Deficiency

(Vipin)","Chapter Appearing in right sequence

(Ajay & Tanishq)","Topic Appearing in right sequence

(Ajay & Tanishq)","Video Appearing in right sequence

(Ajay & Tanishq)",NQE verification for each chapter,"KG Widget showing all data

(Gopi)","Chapter Tests Visible

(Gopi)","Chapter Tests Tiles Verified

(Gopi)",Topic Tile approved,Chapter Tile approved,Searchable,Growth Hack Dashboard Visible,C Support Actions Identified,C Support Actions Enabled,Questions Live
CBSE,11th CBSE,Mathematics,Algebra,Relations and Functions,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Mathematics,Algebra,Sequences and Series,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Mathematics,Algebra,Sets,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Mathematics,Coordinate Geometry,Conic Sections,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Mathematics,Coordinate Geometry,Introduction to Three Dimensional Geometry,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Mathematics,Coordinate Geometry,Straight Lines,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Mathematics,Differential Calculus,Limits and Derivatives,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Mathematics,Mathematical Reasoning and Statistics,Mathematical Reasoning,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Mathematics,Mathematical Reasoning and Statistics,Statistics,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Mathematics,Trigonometry,Properties of Triangle,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Mathematics,Trigonometry,Trigonometric Functions,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Physics,Heat and Thermodynamics,Kinetic Theory,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Physics,Heat and Thermodynamics,Thermal Properties of Matter,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Physics,Heat and Thermodynamics,Thermodynamics,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Physics,Mechanical Properties of Matter,Mechanical Properties of Fluids,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Physics,Mechanical Properties of Matter,Mechanical Properties of Solids,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Physics,Mechanics,Gravitation,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Physics,Mechanics,Laws of Motion,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Physics,Mechanics,Motion in a Plane,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Physics,Mechanics,Motion in a Straight Line,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Physics,Mechanics,Physical World,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Physics,Mechanics,Systems of Particles and Rotational Motion,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Physics,Mechanics,Units and Measurements,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Physics,Mechanics,"Work, Energy and Power",,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Physics,Oscillations and Waves,Oscillations,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Physics,Oscillations and Waves,Waves,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Biology,Biology in Human Welfare,Human Health and Disease,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Biology,Biology in Human Welfare,Microbes in Human Welfare,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Biology,Biology in Human Welfare,Strategies for Enhancement in Food Production,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Biology,Biotechnology,Biotechnology - Principles and Processes,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Biology,Biotechnology,Biotechnology and its Applications,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Biology,Ecology,Biodiversity and Conservation,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Biology,Ecology,Ecosystem,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Biology,Ecology,Environmental Issues,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Biology,Ecology,Organisms and Populations,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Biology,Genetics and Evolution,Evolution,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Biology,Genetics and Evolution,Molecular Basis of Inheritance,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Biology,Genetics and Evolution,Principles of Inheritance and Variation,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Biology,Reproduction,Human Reproduction,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Biology,Reproduction,Reproduction in Organisms,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Biology,Reproduction,Reproductive Health,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Biology,Reproduction,Sexual Reproduction in Flowering Plants,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Chemistry,Inorganic Chemistry,Coordination Compounds,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Chemistry,Inorganic Chemistry,General Principles and Processes of Isolation of Metals (Metallurgy),,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Chemistry,Inorganic Chemistry,The d- and f-Block Elements,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Chemistry,Inorganic Chemistry,The p-Block Elements,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Chemistry,Organic Chemistry,"Alcohols, Phenols and Ethers",,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Chemistry,Organic Chemistry,"Aldehydes, Ketones and Carboxylic Acids",,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Chemistry,Organic Chemistry,Amines,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Chemistry,Organic Chemistry,Biomolecules,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Chemistry,Organic Chemistry,Chemistry in Everyday Life,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Chemistry,Organic Chemistry,Haloalkanes and Haloarenes,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Chemistry,Organic Chemistry,Polymers,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Chemistry,Physical Chemistry,Chemical Kinetics,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Chemistry,Physical Chemistry,Electrochemistry,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Chemistry,Physical Chemistry,Solutions,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Chemistry,Physical Chemistry,Surface Chemistry,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Chemistry,Physical Chemistry,The Solid State,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Mathematics,Algebra,Determinants,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Mathematics,Algebra,Linear Programming,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Mathematics,Algebra,Matrices,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Mathematics,Algebra,Probability,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Mathematics,Algebra,Relations and Functions,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Mathematics,Coordinate Geometry,Three Dimensional Geometry,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Mathematics,Coordinate Geometry,Vector Algebra,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Mathematics,Differential Calculus,Application of Derivatives,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Mathematics,Differential Calculus,Continuity and Differentiability,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Mathematics,Integral Calculus,Application of Integrals,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Mathematics,Integral Calculus,Differential Equations,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Mathematics,Integral Calculus,Integrals,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Mathematics,Trigonometry,Inverse Trigonometric Functions,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Physics,Electricity and Magnetism,Alternating Current,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Physics,Electricity and Magnetism,Current Electricity,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Physics,Electricity and Magnetism,Electric Charges and Fields,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Physics,Electricity and Magnetism,Electromagnetic Induction,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Physics,Electricity and Magnetism,Electrostatic Potential and Capacitance,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Physics,Electricity and Magnetism,Magnetism and Matter,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Physics,Electricity and Magnetism,Moving Charges and Magnetism,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Physics,Modern Physics,Atoms,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Physics,Modern Physics,Communication Systems,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Physics,Modern Physics,Dual Nature of Radiation and Matter,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Physics,Modern Physics,Electromagnetic Waves,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Physics,Modern Physics,Nuclei,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Physics,Modern Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Physics,Optics,Ray Optics and Optical Instruments,,,,,,,,,,,,,,,,,,,Not found
CBSE,12th CBSE,Physics,Optics,Wave Optics,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Environmental Studies,Incredible India,Clay Handicrafts,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Environmental Studies,Incredible India,Exploring My India,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Environmental Studies,Incredible India,"Soil, Till And Toil",,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Environmental Studies,Incredible India,Village Life,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Environmental Studies,It's My Life,Celebrations Time,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Environmental Studies,It's My Life,Needs of Our Life,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Environmental Studies,It's My Life,Safe And Secure Living,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Environmental Studies,It's My Life,Who Am I,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Environmental Studies,Our Universe,Earth and Sky,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Environmental Studies,Plant And Animal Life,Nature's Gifts,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Environmental Studies,The Non Living World,Non Living Things Around Us,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Environmental Studies,The World Around Me,Around And About,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Environmental Studies,The World Around Me,Let's Ride the School Bus,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Environmental Studies,The World Around Me,Matter All Around,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Environmental Studies,The World Around Me,Soil Pollution,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Environmental Studies,The World Around Me,"Want Not, Waste Not",,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Environmental Studies,The World Around Me,We Hear Sound,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Environmental Studies,The World Around Me,We See Light,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Mathematics,Arithmetic,Addition,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Mathematics,Arithmetic,How Many,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Mathematics,Arithmetic,Measurement,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Mathematics,Arithmetic,Money,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Mathematics,Arithmetic,Numbers,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Mathematics,Arithmetic,Numbers from One to Nine,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Mathematics,Arithmetic,Numbers from Ten to Twenty,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Mathematics,Arithmetic,Numbers from Twenty-one to Fifty,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Mathematics,Arithmetic,Patterns,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Mathematics,Arithmetic,Subtraction,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Mathematics,Arithmetic,Time,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Mathematics,Geometry,Shapes and Space,,,,,,,,,,,,,,,,,,,Not found
CBSE,1st CBSE,Mathematics,Statistics,Data Handling,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Environmental Studies,Around the World,It's a Small World,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Environmental Studies,Exploring the World,"Force, Work and Energy",,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Environmental Studies,Exploring the World,Matter is Everywhere,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Environmental Studies,Exploring the World,Rocks & Minerals,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Environmental Studies,My Special World,A Happy Family,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Environmental Studies,My Special World,Feelings Matter,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Environmental Studies,My Special World,Learning About Myself,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Environmental Studies,My Special World,Our Basic Needs,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Environmental Studies,My Special World,The Human Body,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Environmental Studies,The Universe,From Seed to Plant,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Environmental Studies,The Universe,Glorious Sun,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Environmental Studies,The Universe,Landscapes Around Me,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Environmental Studies,The Universe,Seasons and Weather,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Environmental Studies,The Universe,The Solar System,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Environmental Studies,The Universe,Water Pollution,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Environmental Studies,United We Stand,Games in India,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Environmental Studies,United We Stand,My Country,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Environmental Studies,Wonders of the Living World,Animal and Plant Corner,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Mathematics,Arithmetic,Add Our Points,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Mathematics,Arithmetic,"Birds Come, Birds Go",,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Mathematics,Arithmetic,Counting in Groups,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Mathematics,Arithmetic,Counting in Tens,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Mathematics,Arithmetic,Give and Take,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Mathematics,Arithmetic,How Much Can You Carry?,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Mathematics,Arithmetic,Jugs and Mugs,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Mathematics,Arithmetic,My Funday,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Mathematics,Arithmetic,Tens and Ones,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Mathematics,Geometry,Footprints,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Mathematics,Geometry,Lines and Lines,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Mathematics,Geometry,Patterns,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Mathematics,Geometry,The Longest Step,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Mathematics,Geometry,What is Long? What is Round?,,,,,,,,,,,,,,,,,,,Not found
CBSE,2nd CBSE,Mathematics,Statistics,How Many Ponytails?,,,,,,,,,,,,,,,,,,,Not found
CBSE,3rd CBSE,Environmental Studies,Life Science,Classify Things,,,,,,,,,,,,,,,,,,,Not found
CBSE,3rd CBSE,Environmental Studies,Life Science,Flying High,,,,,,,,,,,,,,,,,,,Not found
CBSE,3rd CBSE,Environmental Studies,Life Science,Foods We Eat,,,,,,,,,,,,,,,,,,,Not found
CBSE,3rd CBSE,Environmental Studies,Life Science,Our Friends — Animals,,,,,,,,,,,,,,,,,,,Not found
CBSE,3rd CBSE,Environmental Studies,Life Science,Poonam's Day Out,,,,,,,,,,,,,,,,,,,Not found
CBSE,3rd CBSE,Environmental Studies,Life Science,Story of food,,,,,,,,,,,,,,,,,,,Not found
CBSE,3rd CBSE,Environmental Studies,Life Science,The Plant Fairy,,,,,,,,,,,,,,,,,,,Not found
CBSE,3rd CBSE,Environmental Studies,Life Science,Web of life,,,,,,,,,,,,,,,,,,,Not found
CBSE,3rd CBSE,Environmental Studies,Life Science,What is Cooking,,,,,,,,,,,,,,,,,,,Not found
CBSE,3rd CBSE,Environmental Studies,Physical Education,Games We Play,,,,,,,,,,,,,,,,,,,Not found
CBSE,3rd CBSE,Environmental Studies,Physical Science,Drop by drop,,,,,,,,,,,,,,,,,,,Not found
CBSE,3rd CBSE,Environmental Studies,Physical Science,Measurement,,,,,,,,,,,,,,,,,,,Not found
CBSE,3rd CBSE,Environmental Studies,Physical Science,Water O’ Water,,,,,,,,,,,,,,,,,,,Not found
